ident,type,name,elevation_ft,iso_country,iso_region,municipality,local_code
PA48,heliport,Holy Spirit A Geisinger Affiliate Heliport,426.0,US,US-PA,Harrisburg,PA48
PA49,small_airport,Mountain Bay Air Park Inc Airport,1500.0,US,US-PA,Hawley,PA49
PA50,heliport,Bloomsburg Hospital Heliport,660.0,US,US-PA,Bloomsburg,PA50
PA51,small_airport,Bowtie Airport,560.0,US,US-PA,Biglerville,PA51
PA52,small_airport,Oberlander Airport,1626.0,US,US-PA,Union City,PA52
PA53,small_airport,Cosklos Elkview Airport,1710.0,US,US-PA,Carbondale,PA53
PA54,small_airport,Kellachows Airport,1430.0,US,US-PA,Carbondale,PA54
PA55,small_airport,Neiderer Airport,440.0,US,US-PA,Carlisle,PA55
PA56,heliport,Upmc Passavant Cranberry Heliport,1100.0,US,US-PA,Cranberry,PA56
PA57,heliport,Grove City Medical Ctr Heliport,1255.0,US,US-PA,Grove City,PA57
PA58,small_airport,Rocktop Airport,770.0,US,US-PA,Chambersburg,PA58
PA59,heliport,Cast & Baker Heliport,1246.0,US,US-PA,Canonsburg,PA59
PA60,heliport,Chambersburg Hospital Heliport,640.0,US,US-PA,Chambersburg,PA60
PA61,small_airport,Kunda Airport,252.0,US,US-PA,Collegeville,PA61
PA62,heliport,Temple University Heliport,47.0,US,US-PA,Philadelphia,PA62
PA63,heliport,Wpxi-Tv Evergreen Road Heliport,1106.0,US,US-PA,Pittsburgh,PA63
PA64,heliport,Cairnwood Heliport,260.0,US,US-PA,Huntington Valley,PA64
PA65,small_airport,Hi-Vu Airport,760.0,US,US-PA,Coplay,PA65
PA66,small_airport,Cumberland Valley Airstrip,550.0,US,US-PA,Greencastle,PA66
PA67,heliport,Allegheny Hospitals Canonsburg Heliport,1169.0,US,US-PA,Canonsburg,PA67
PA68,small_airport,Bugs Airport,430.0,US,US-PA,Nazareth,PA68
PA69,small_airport,Vogelsong Airport,590.0,US,US-PA,Dillsburg,PA69
PA70,small_airport,Fetters Construction Airport,500.0,US,US-PA,Downingtown,PA70
PA71,small_airport,Dwight's Delight Airport,1717.0,US,US-PA,Dushore,PA71
PA72,small_airport,Circle W Airfield,460.0,US,US-PA,East Berlin,PA72
PA73,small_airport,D.Evans Farm Airport,525.0,US,US-PA,East Prospect,PA73
PA74,small_airport,Gusler Airport,700.0,US,US-PA,Elizabethville/Halifax,PA74
PA75,small_airport,Baker Airport,1800.0,US,US-PA,Elkland,PA75
PA76,small_airport,Rosenzweig Airport,1930.0,US,US-PA,Wilkes Barre,PA76
PA77,small_airport,Erwinna Private Airport,350.0,US,US-PA,Erwinna,PA77
PA78,closed,Tintinhull Airport,350.0,US,US-PA,Erwinna,
PA79,heliport,Tinicum Farms Heliport,280.0,US,US-PA,Erwinna,PA79
